Loc,DateOfMonth,Weekday,Hour,NoOfBookings
4,27,6,13,30420
4,27,6,14,30463
4,27,6,15,30521
4,27,6,16,30585
4,27,6,17,30652
4,27,6,18,30707
4,27,6,19,30750
4,27,6,20,30794
4,27,6,21,30821
4,27,6,22,30859
4,27,6,23,30876
4,28,0,0,30892
4,28,0,1,30903
4,28,0,2,30904
4,28,0,3,30908
4,28,0,4,30913
4,28,0,5,30927
5,28,0,6,30955
5,28,0,7,31013
5,28,0,8,31080
5,28,0,9,31130
5,28,0,10,31166
5,28,0,11,31199
5,28,0,12,31235
5,28,0,13,31271
5,28,0,14,31318
5,28,0,15,31375
5,28,0,16,31433
5,28,0,17,31508
5,28,0,18,31592
5,28,0,19,31662
5,28,0,20,31721
5,28,0,21,31789
5,28,0,22,31829
5,28,0,23,31848
5,29,1,0,31863
5,29,1,1,31869
5,29,1,2,31874
5,29,1,3,31877
5,29,1,4,31884
5,29,1,5,31893
5,29,1,6,31911
5,29,1,7,31965
5,29,1,8,32038
5,29,1,9,32104
5,29,1,10,32145
5,29,1,11,32192
5,29,1,12,32234
5,29,1,13,32276
5,29,1,14,32350
5,29,1,15,32444
5,29,1,16,32551
5,29,1,17,32678
5,29,1,18,32837
5,29,1,19,32961
5,29,1,20,33058
5,29,1,21,33172
5,29,1,22,33267
5,29,1,23,33317
5,30,2,0,33350
5,30,2,1,33362
5,30,2,2,33367
5,30,2,3,33371
5,30,2,4,33380
5,30,2,5,33386
5,30,2,6,33413
5,30,2,7,33493
5,30,2,8,33586
5,30,2,9,33681
5,30,2,10,33762
5,30,2,11,33858
5,30,2,12,33933
5,30,2,13,34037
5,30,2,14,34148
5,30,2,15,34277
5,30,2,16,34430
5,30,2,17,34594
5,30,2,18,34769
5,30,2,19,34967
5,30,2,20,35127
5,30,2,21,35279
5,30,2,22,35414
5,30,2,23,35501
5,1,1,0,35536
5,1,1,1,35571
5,1,1,2,35589
5,1,1,3,35604
5,1,1,4,35628
5,1,1,5,35673
5,1,1,6,35760
5,1,1,7,35934
5,1,1,8,36165
5,1,1,9,36339
5,1,1,10,36472
5,1,1,11,36592
5,1,1,12,36747
5,1,1,13,36869
5,1,1,14,37021
5,1,1,15,37213
5,1,1,16,37451
5,1,1,17,37747
5,1,1,18,38083
5,1,1,19,38397
5,1,1,20,38667
5,1,1,21,38835
5,1,1,22,39061
5,1,1,23,39203
5,2,2,0,39274
5,2,2,1,39309
5,2,2,2,39334
5,2,2,3,39350
5,2,2,4,39367
5,2,2,5,39431
5,2,2,6,39521
5,2,2,7,39724
5,2,2,8,40006
5,2,2,9,40246
5,2,2,10,40431
5,2,2,11,40594
5,2,2,12,40771
5,2,2,13,40941
5,2,2,14,41115
5,2,2,15,41331
5,2,2,16,41609
5,2,2,17,41934
5,2,2,18,42362
5,2,2,19,42686
5,2,2,20,42986
5,2,2,21,43272
5,2,2,22,43548
5,2,2,23,43703
5,3,3,0,43800
5,3,3,1,43849
5,3,3,2,43879
